,college_name,opening_rank,closing_rank
2865,"Sardar Vallabhbhai National Institute of Technology, Surat",4076,8115
2887,National Institute of Technology Agartala,3661,8199
2913,National Institute of Technology Calicut,8309,8309
2935,National Institute of Technology Hamirpur,8457,8457
2937,National Institute of Technology Nagaland,6577,8468
2950,"National Institute of Technology, Tiruchirappalli",2578,8518
2982,National Institute of Technology Meghalaya,4839,8663
2984,National Institute of Technology Agartala,2623,8667
2997,"National Institute of Technology, Srinagar",8764,8764
2999,National Institute of Technology Goa,8772,8772
3002,"National Institute of Technology, Srinagar",8775,8775
3009,"Indian Institute of Engineering Science and Technology, Shibpur",5419,8828
3043,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",2831,9007
3059,National Institute of Technology Puducherry,9098,9098
3095,"National Institute of Technology, Tiruchirappalli",5929,9294
3116,National Institute of Technology Durgapur,9410,9410
3124,National Institute of Technology Durgapur,9461,9461
3144,"Indian Institute of Engineering Science and Technology, Shibpur",9599,9599
3154,National Institute of Technology Arunachal Pradesh,4872,9675
3155,"National Institute of Technology, Tiruchirappalli",6104,9676
3156,National Institute of Technology Calicut,9684,9684
3183,National Institute of Technology Puducherry,9807,9807
3194,"National Institute of Technology, Srinagar",9875,9875
3200,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",9924,9924
3212,"National Institute of Technology, Manipur",5884,10009
3265,National Institute of Technology Agartala,6763,10408
3283,"National Institute of Technology, Manipur",8769,10549
3284,National Institute of Technology Nagaland,7182,10555
3298,"National Institute of Technology, Srinagar",10710,10710
3304,National Institute of Technology Arunachal Pradesh,4393,10744
3317,"Indian Institute of Engineering Science and Technology, Shibpur",10867,10867
3379,"Indian Institute of Engineering Science and Technology, Shibpur",11402,11402
3404,National Institute of Technology Goa,11662,11662
3421,National Institute of Technology Nagaland,5251,11802
3436,National Institute of Technology Nagaland,6975,11974
3457,National Institute of Technology Agartala,5486,12190
3459,"National Institute of Technology, Srinagar",12237,12237
3463,"National Institute of Technology, Tiruchirappalli",12314,12314
3465,"National Institute of Technology, Tiruchirappalli",11395,12316
3479,"Indian Institute of Engineering Science and Technology, Shibpur",11867,12542
3497,National Institute of Technology Agartala,6784,12722
3510,"National Institute of Technology, Tiruchirappalli",9553,12856
3517,"National Institute of Technology, Manipur",11698,12939
3518,National Institute of Technology Meghalaya,11699,12957
3561,National Institute of Technology Hamirpur,13514,13514
3577,"National Institute of Technology, Kurukshetra",13728,13728
3582,National Institute of Technology Goa,13752,13752
3584,National Institute of Technology Calicut,13804,13804
3595,National Institute of Technology Calicut,13896,13896
3598,National Institute of Technology Durgapur,13902,13969
3607,National Institute of Technology Meghalaya,4207,14082
3617,National Institute of Technology Agartala,7068,14186
3623,National Institute of Technology Agartala,7766,14243
3662,National Institute of Technology Nagaland,14629,14629
3679,National Institute of Technology Puducherry,6981,14829
3692,National Institute of Technology Agartala,11407,15003
3702,National Institute of Technology Arunachal Pradesh,7651,15140
3705,"National Institute of Technology, Manipur",13506,15176
3711,"National Institute of Technology, Kurukshetra",9057,15292
3734,National Institute of Technology Sikkim,15628,15628
3737,"Indian Institute of Engineering Science and Technology, Shibpur",15704,15704
3741,National Institute of Technology Calicut,8021,15768
3747,National Institute of Technology Sikkim,15842,15842
3754,"National Institute of Technology, Kurukshetra",15947,15947
3769,National Institute of Technology Calicut,4502,16240
3776,National Institute of Technology Agartala,9304,16348
3777,"National Institute of Technology, Tiruchirappalli",16362,16362
3782,"National Institute of Technology, Srinagar",16436,16436
3812,National Institute of Technology Arunachal Pradesh,16763,16763
3813,National Institute of Technology Meghalaya,14989,16764
3830,National Institute of Technology Nagaland,9065,17028
3836,"National Institute of Technology, Tiruchirappalli",17086,17086
3839,National Institute of Technology Agartala,17128,17128
3863,"National Institute of Technology, Kurukshetra",7877,17533
3864,"National Institute of Technology, Manipur",7477,17536
3865,National Institute of Technology Calicut,7900,17540
3872,"National Institute of Technology, Srinagar",17617,17617
3898,National Institute of Technology Agartala,12375,17871
3903,National Institute of Technology Meghalaya,6277,17969
3925,National Institute of Technology Meghalaya,7376,18254
3932,National Institute of Technology Nagaland,18308,18308
3983,National Institute of Technology Arunachal Pradesh,13596,19232
3989,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",19355,19355
3991,National Institute of Technology Agartala,9491,19373
4003,"National Institute of Technology, Mizoram",19686,19686
4014,"National Institute of Technology, Tiruchirappalli",19864,19864
4017,National Institute of Technology Agartala,8729,19886
4028,National Institute of Technology Durgapur,19973,19973
4029,National Institute of Technology Durgapur,11904,19992
4079,National Institute of Technology Agartala,17654,21024
4105,"Indian Institute of Engineering Science and Technology, Shibpur",21468,21468
4168,National Institute of Technology Agartala,22798,22798
4170,"National Institute of Technology, Mizoram",22919,22919
4174,National Institute of Technology Agartala,14481,22972
4190,"National Institute of Technology, Kurukshetra",5763,23356
4209,National Institute of Technology Meghalaya,5729,23697
4216,National Institute of Technology Sikkim,23898,23898
4230,"National Institute of Technology, Kurukshetra",18751,24286
4240,National Institute of Technology Agartala,13310,24757
4243,"National Institute of Technology, Manipur",24943,24943
4284,National Institute of Technology Nagaland,8288,26561
4286,National Institute of Technology Calicut,26649,26649
4307,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",27312,27312
4339,National Institute of Technology Arunachal Pradesh,12721,28584
4350,National Institute of Technology Nagaland,12025,29018
4375,National Institute of Technology Agartala,16244,30240
4400,National Institute of Technology Agartala,31221,31221
4406,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",14671,31558
