,college_name,Opening Rank,Closing Rank
66,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",9924,9924
109,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",19355,19355
149,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",14671,31558
208,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",27312,27312
855,National Institute of Technology Agartala,8729,19886
856,National Institute of Technology Agartala,12375,17871
874,National Institute of Technology Agartala,14481,22972
888,National Institute of Technology Agartala,11407,15003
920,National Institute of Technology Agartala,17654,21024
975,National Institute of Technology Agartala,7766,14243
993,National Institute of Technology Agartala,16244,30240
1007,National Institute of Technology Agartala,13310,24757
1030,National Institute of Technology Agartala,9491,19373
1031,National Institute of Technology Agartala,17128,17128
1046,National Institute of Technology Agartala,9304,16348
1058,National Institute of Technology Agartala,31221,31221
1059,National Institute of Technology Agartala,22798,22798
1119,National Institute of Technology Calicut,26649,26649
1142,National Institute of Technology Calicut,8021,15768
1143,National Institute of Technology Calicut,9684,9684
1197,National Institute of Technology Calicut,7900,17540
1198,National Institute of Technology Calicut,8309,8309
1222,National Institute of Technology Calicut,13896,13896
1281,National Institute of Technology Calicut,13804,13804
1389,National Institute of Technology Durgapur,13902,13969
1390,National Institute of Technology Durgapur,19973,19973
1420,National Institute of Technology Durgapur,9410,9410
1464,National Institute of Technology Durgapur,9461,9461
1566,National Institute of Technology Durgapur,11904,19992
1605,National Institute of Technology Goa,8772,8772
1629,National Institute of Technology Goa,11662,11662
1646,National Institute of Technology Goa,7714,7714
1689,National Institute of Technology Goa,13752,13752
1819,National Institute of Technology Hamirpur,7829,7829
1901,National Institute of Technology Hamirpur,8457,8457
1918,National Institute of Technology Hamirpur,13514,13514
2227,National Institute of Technology Meghalaya,11699,12957
2256,National Institute of Technology Meghalaya,14989,16764
2296,National Institute of Technology Nagaland,8288,26561
2297,National Institute of Technology Nagaland,9065,17028
2304,National Institute of Technology Nagaland,14629,14629
2311,National Institute of Technology Nagaland,12025,29018
2312,National Institute of Technology Nagaland,18308,18308
2496,National Institute of Technology Puducherry,9098,9098
2532,National Institute of Technology Puducherry,9807,9807
2842,National Institute of Technology Sikkim,23898,23898
2853,National Institute of Technology Sikkim,15842,15842
2867,National Institute of Technology Sikkim,15628,15628
2903,National Institute of Technology Arunachal Pradesh,7651,15140
2919,National Institute of Technology Arunachal Pradesh,12721,28584
2920,National Institute of Technology Arunachal Pradesh,16763,16763
2933,National Institute of Technology Arunachal Pradesh,13596,19232
3138,"National Institute of Technology, Kurukshetra",15947,15947
3213,"National Institute of Technology, Kurukshetra",7877,17533
3236,"National Institute of Technology, Kurukshetra",9057,15292
3240,"National Institute of Technology, Kurukshetra",13728,13728
3262,"National Institute of Technology, Kurukshetra",18751,24286
3301,"National Institute of Technology, Manipur",8769,10549
3315,"National Institute of Technology, Manipur",13506,15176
3331,"National Institute of Technology, Manipur",11698,12939
3356,"National Institute of Technology, Manipur",24943,24943
3367,"National Institute of Technology, Mizoram",19686,19686
3379,"National Institute of Technology, Mizoram",22919,22919
3951,"National Institute of Technology, Srinagar",9875,9875
4000,"National Institute of Technology, Srinagar",12237,12237
4022,"National Institute of Technology, Srinagar",8775,8775
4045,"National Institute of Technology, Srinagar",17617,17617
4071,"National Institute of Technology, Srinagar",8764,8764
4091,"National Institute of Technology, Srinagar",10710,10710
4115,"National Institute of Technology, Srinagar",16436,16436
4158,"National Institute of Technology, Tiruchirappalli",17086,17086
4308,"National Institute of Technology, Tiruchirappalli",16362,16362
4333,"National Institute of Technology, Tiruchirappalli",11395,12316
4334,"National Institute of Technology, Tiruchirappalli",12314,12314
4357,"National Institute of Technology, Tiruchirappalli",9553,12856
4358,"National Institute of Technology, Tiruchirappalli",19864,19864
5320,"Indian Institute of Engineering Science and Technology, Shibpur",11402,11402
5366,"Indian Institute of Engineering Science and Technology, Shibpur",9599,9599
5436,"Indian Institute of Engineering Science and Technology, Shibpur",15704,15704
5458,"Indian Institute of Engineering Science and Technology, Shibpur",10867,10867
5475,"Indian Institute of Engineering Science and Technology, Shibpur",11867,12542
5476,"Indian Institute of Engineering Science and Technology, Shibpur",21468,21468
