S No.,Date,App Name,Usage (in Seconds),Launch Count,is Monitoring,is SystemApp,Package Name
1,2022/07/15,PrepLadder,9175,32,Yes,No,com.prepladder.learningapp
2,2022/07/15,Gboard,1,3,Yes,No,com.google.android.inputmethod.latin
3,2022/07/21,Cricbuzz,256,6,Yes,No,com.cricbuzz.android
4,2022/07/20,Relevel,157,3,Yes,No,com.relevel
5,2022/07/15,Wallpaper services,1,1,No,Yes,com.samsung.android.dynamiclock
6,2022/07/21,Relevel,66,1,Yes,No,com.relevel
7,2022/07/15,My Files,103,13,Yes,No,com.sec.android.app.myfiles
8,2022/07/18,My Files,143,3,Yes,No,com.sec.android.app.myfiles
9,2022/07/21,WhatsApp,462,13,Yes,No,com.whatsapp
10,2022/07/20,WhatsApp,725,19,Yes,No,com.whatsapp
11,2022/07/16,Relevel,66,1,Yes,No,com.relevel
12,2022/07/19,Relevel,98,4,Yes,No,com.relevel
13,2022/07/18,Relevel,149,4,Yes,No,com.relevel
14,2022/07/21,One UI Home,776,142,No,Yes,com.sec.android.app.launcher
15,2022/07/20,One UI Home,582,104,No,Yes,com.sec.android.app.launcher
16,2022/07/15,Messages,42,2,Yes,No,com.samsung.android.messaging
17,2022/07/19,One UI Home,949,126,No,Yes,com.sec.android.app.launcher
18,2022/07/19,Cricbuzz,830,13,Yes,No,com.cricbuzz.android
19,2022/07/20,PrepLadder,127,1,Yes,No,com.prepladder.learningapp
20,2022/07/18,One UI Home,1016,151,No,Yes,com.sec.android.app.launcher
21,2022/07/18,Cricbuzz,766,10,Yes,No,com.cricbuzz.android
22,2022/07/17,One UI Home,878,127,No,Yes,com.sec.android.app.launcher
23,2022/07/16,One UI Home,1627,195,No,Yes,com.sec.android.app.launcher
24,2022/07/15,One UI Home,1929,357,No,Yes,com.sec.android.app.launcher
25,2022/07/15,Chrome,2894,43,Yes,No,com.android.chrome
26,2022/07/15,Relevel,3,1,Yes,No,com.relevel
27,2022/07/16,Chrome,692,10,Yes,No,com.android.chrome
28,2022/07/17,Chrome,1574,27,Yes,No,com.android.chrome
29,2022/07/21,1DM,3,1,Yes,No,idm.internet.download.manager
30,2022/07/17,Cricbuzz,1169,17,Yes,No,com.cricbuzz.android
31,2022/07/18,Chrome,2314,25,Yes,No,com.android.chrome
32,2022/07/16,Cricbuzz,462,11,Yes,No,com.cricbuzz.android
33,2022/07/19,Chrome,739,13,Yes,No,com.android.chrome
34,2022/07/15,Cricbuzz,330,9,Yes,No,com.cricbuzz.android
35,2022/07/20,Chrome,1370,18,Yes,No,com.android.chrome
36,2022/07/20,Cricbuzz,588,6,Yes,No,com.cricbuzz.android
37,2022/07/21,Chrome,662,17,Yes,No,com.android.chrome
38,2022/07/16,LinkedIn,830,8,Yes,No,com.linkedin.android
39,2022/07/15,LinkedIn,530,1,Yes,No,com.linkedin.android
40,2022/07/15,Find My Device,42,2,Yes,No,com.google.android.apps.adm
41,2022/07/15,WAMR,1,1,Yes,No,com.drilens.wamr
42,2022/07/15,Call settings,25,1,No,Yes,com.samsung.android.app.telephonyui
43,2022/07/17,Camera,56,4,Yes,No,com.sec.android.app.camera
44,2022/07/18,Camera,4,1,Yes,No,com.sec.android.app.camera
45,2022/07/20,Gmail,136,5,Yes,No,com.google.android.gm
46,2022/07/19,YouTube Vanced,65,2,Yes,No,com.vanced.android.youtube
47,2022/07/18,YouTube Vanced,77,2,Yes,No,com.vanced.android.youtube
48,2022/07/21,Keep notes,34,2,Yes,No,com.google.android.keep
49,2022/07/15,Camera,102,9,Yes,No,com.sec.android.app.camera
50,2022/07/17,Language Curry,696,5,Yes,No,com.languagecurry
51,2022/07/16,Camera,109,7,Yes,No,com.sec.android.app.camera
52,2022/07/19,YouTube Music,33,3,Yes,No,com.vanced.android.apps.youtube.music
53,2022/07/15,YouTube Music,149,6,Yes,No,com.vanced.android.apps.youtube.music
54,2022/07/20,YouTube Vanced,1208,8,Yes,No,com.vanced.android.youtube
55,2022/07/16,RailYatri,4,1,Yes,No,com.railyatri.in.mobile
56,2022/07/15,RailYatri,926,12,Yes,No,com.railyatri.in.mobile
57,2022/07/15,Accessibility,270,8,Yes,No,com.samsung.accessibility
58,2022/07/21,YouTube Vanced,2277,8,Yes,No,com.vanced.android.youtube
59,2022/07/16,Messages,3,1,Yes,No,com.samsung.android.messaging
60,2022/07/15,Settings,550,51,Yes,No,com.android.settings
61,2022/07/18,Messages,11,3,Yes,No,com.samsung.android.messaging
62,2022/07/16,Settings,125,11,Yes,No,com.android.settings
63,2022/07/19,Messages,52,2,Yes,No,com.samsung.android.messaging
64,2022/07/17,Settings,34,9,Yes,No,com.android.settings
65,2022/07/18,Settings,25,5,Yes,No,com.android.settings
66,2022/07/19,Settings,58,11,Yes,No,com.android.settings
67,2022/07/18,Gmail,49,4,Yes,No,com.google.android.gm
68,2022/07/20,Camera,30,5,Yes,No,com.sec.android.app.camera
69,2022/07/17,Gmail,7,1,Yes,No,com.google.android.gm
70,2022/07/21,Camera,3,2,Yes,No,com.sec.android.app.camera
71,2022/07/21,Language Curry,178,1,Yes,No,com.languagecurry
72,2022/07/16,Gmail,47,1,Yes,No,com.google.android.gm
73,2022/07/20,WAMR,12,1,Yes,No,com.drilens.wamr
74,2022/07/15,Gmail,52,1,Yes,No,com.google.android.gm
75,2022/07/21,WAMR,15,2,Yes,No,com.drilens.wamr
76,2022/07/21,Gboard,0,4,Yes,No,com.google.android.inputmethod.latin
77,2022/07/19,Gmail,87,2,Yes,No,com.google.android.gm
78,2022/07/19,WhatsApp,698,20,Yes,No,com.whatsapp
79,2022/07/20,Messages,137,6,Yes,No,com.samsung.android.messaging
80,2022/07/18,WhatsApp,932,26,Yes,No,com.whatsapp
81,2022/07/21,Messages,930,29,Yes,No,com.samsung.android.messaging
82,2022/07/17,WhatsApp,790,20,Yes,No,com.whatsapp
83,2022/07/16,WhatsApp,1899,51,Yes,No,com.whatsapp
84,2022/07/17,YouTube Vanced,2285,5,Yes,No,com.vanced.android.youtube
85,2022/07/15,WhatsApp,2995,67,Yes,No,com.whatsapp
86,2022/07/16,YouTube Vanced,29,1,Yes,No,com.vanced.android.youtube
87,2022/07/15,YouTube Vanced,1184,2,Yes,No,com.vanced.android.youtube
88,2022/07/21,MyJio,291,4,Yes,No,com.jio.myjio
89,2022/07/20,MyJio,2,2,Yes,No,com.jio.myjio
90,2022/07/20,Physics Wallah,72,1,Yes,No,xyz.penpencil.physicswala
91,2022/07/15,SoundAlive,23,5,No,Yes,com.sec.android.app.soundalive
