"user",1,"category","videos_uploaded","views","rating",4,5
"EvilSquirrelPictures",1135,"Pets & Animals",252,1075,4.96,46,86
"hggh22",1135,"Comedy",169,228,5,5,3
"TimeGem",1135,"Entertainment",95,356,4.31,13,1
"wooochacha",1135,"Entertainment",118,1115,2.23,57,73
"johnx113",1135,"Entertainment",83,281,2.67,9,16
"marcosoycadiz",1135,"People & Blogs",49,1196,3.67,6,5
"TroyChannel",1136,"Entertainment",145,11,0,0,0
"OmnipotentSI",1135,"Entertainment",9,490,2.31,26,15
"dumbasstheredneck",1095,"Comedy",14,1349,2.09,22,13
"thecrashguy",1136,"Entertainment",61,29,0,0,0
"iamdanielisaac",541,"Comedy",152,483053,4.65,2689,2932
"threefirstnames",1135,"Entertainment",253,63,5,3,2
"djlogitek",964,"News & Politics",173,106929,4.39,1010,1484
"fatvids",690,"Comedy",176,2464486,4.5,13342,11997
"weneedhelp",1082,"News & Politics",213,46183,4.71,280,247
"dumbasstheredneck",1095,"Comedy",14,1550,1.57,14,4
"imgrown18",910,"Comedy",224,392908,4.8,1261,829
"StanleyJenkins",1106,"Comedy",200,110272,4.07,1011,482
"makemagazine",460,"Film & Animation",294,71966,4.07,260,229
"bravenewfilms",440,"Entertainment",168,653840,4.43,198,377
"Ffllaanndd",1090,"Entertainment",249,146,5,1,1
"diamondfan1910",1011,"Film & Animation",369,728,4.64,11,17
"Ffllaanndd",1100,"Entertainment",424,229,4,4,2
"LinIsKorean",1067,"Entertainment",410,220,4.33,6,9
"ratfink43",719,"News & Politics",37,4446,4.81,21,8
"zeldamastertimmy2",1100,"Entertainment",477,379,4.2,10,5
"NoodleStroodel",1069,"Film & Animation",107,161,5,1,2
"samsarajade",1108,"Comedy",218,664,5,12,27
"GoldGlove01",1089,"Film & Animation",79,25,0,0,0
"Dukescubbie",881,"People & Blogs",53,447,4.86,7,2
"easterfilms",800,"Entertainment",137,523,4.2,10,9
"Djclyve",744,"Entertainment",340,1083,2.33,3,0
"diamondfan1910",1038,"Film & Animation",322,230,5,4,9
"mywiiowns",883,"Entertainment",608,406,2.43,7,4
"YouGotRickRolled",832,"Comedy",210,8119804,4.64,23256,29160
"DarkArchon102",1068,"Entertainment",84,109,5,1,7
"uglydollfreak",1089,"Entertainment",614,146,2.5,2,5
"SamProof",861,"Entertainment",226,3685,4.85,33,80
"Zarzycki3000",1060,"Entertainment",212,57,2.33,3,2
"WhiteKhakis",965,"Entertainment",291,5481,4.64,14,18
"Ryokibin",1133,"News & Politics",521,11327,4.77,96,190
"CBS",1134,"News & Politics",177,25618,4.86,182,153
"davoodnpussy",1135,"News & Politics",89,3947,1.46,69,49
"zabbabou",1136,"News & Politics",63,549,3.15,13,11
"giantPANDER",1135,"News & Politics",132,597,5,4,1
"JoannaLloyduynsv",1134,"News & Politics",53,2511,4.43,7,9
"speakmymind01",1133,"News & Politics",116,5321,4.77,30,60
"ScrappleFace",1134,"News & Politics",45,12971,4.57,23,44
"andiKentvmai",1135,"News & Politics",124,209,5,1,8
"wazolangu",1130,"News & Politics",39,44203,4.72,184,208
"iaxiloll",1134,"News & Politics",382,4648,4.48,31,119
"lotarvk",1134,"News & Politics",122,6715,4.82,33,166
"SteveMarmel",1131,"Comedy",149,53950,4.68,341,572
"go33tv",1134,"News & Politics",138,10240,4.77,44,118
"oonkamoonka",1134,"Comedy",71,11888,4.48,58,77
"llamomanu",1133,"News & Politics",219,51837,4.71,390,795
"ciwanamed",1135,"News & Politics",116,894,5,3,6
"CBSEXPosed",1134,"News & Politics",116,7515,5,2,0
"spityogamecom",856,"Music",294,390697,3.77,1320,2351
"SpTgUrL2010",1063,"Music",166,3768,3.75,16,15
,,,,,,,
"joris6440",1127,"Music",303,368,4.6,10,4
"reidooproductions",1135,"Howto & Style",185,84,2.67,3,2
"MYHOODURHOOD2",1135,"Music",64,199,0,0,1
"iRespond2U",1135,"Music",59,116,0,0,7
"headz22",1136,"Music",104,48,5,2,1
"spityogamecom",858,"Music",401,267189,4.69,442,407
"spityogamecom",864,"Music",356,200754,4.76,364,264
"mi3456789",1112,"Entertainment",295,247,4,5,1
"spityogamecom",852,"Music",187,164387,4.82,108,47
"MrCeoBoy",989,"Music",176,762,5,4,7
"MRMAKEEMBOP",1118,"Music",152,665,0,0,1
"jessy0525",859,"People & Blogs",240,1195,3.67,3,6
"Chevymalibu12",835,"Music",202,330284,4.72,392,259
"MRMAKEEMBOP",1117,"Music",111,158,5,1,0
